EmployeeID,Age,Gender,Education,Department,JobRole,YearsExperience,Certifications,WorkLifeBalance,JobSatisfaction,RemoteWork,OverTime,CompanyRating,City,Salary
1001,50,Male,Bachelor,Sales,Consultant,11,2,4,1,0,0,4.9,Bangalore,76574
1002,36,Female,Master,IT,Executive,6,1,4,1,1,1,4.7,Hyderabad,55771
1003,29,Male,High School,HR,Engineer,11,5,1,2,0,1,4.7,Mumbai,75654
1004,42,Female,Master,HR,Consultant,1,2,4,2,0,1,4.8,Hyderabad,50298
1005,40,Female,High School,Marketing,Engineer,13,0,2,3,1,0,4.7,Delhi,78400
1006,44,Male,Bachelor,Marketing,Executive,4,0,3,3,0,1,4.4,Chennai,57096
1007,32,Female,Bachelor,Operations,Engineer,8,1,3,2,1,0,4.3,Bangalore,65852
1008,32,Female,High School,HR,Manager,10,0,1,2,1,1,3.2,Mumbai,69643
1009,45,Male,Bachelor,Sales,Consultant,4,3,4,1,0,1,4.1,Mumbai,54121
1010,57,Female,High School,IT,Engineer,2,5,1,2,1,0,3.8,Bangalore,46290
1011,45,Female,High School,Finance,Analyst,16,5,2,3,1,1,4.7,Hyderabad,95248
1012,24,Male,Bachelor,Marketing,Engineer,1,5,4,1,0,0,3.7,Mumbai,42987
1013,43,Male,PhD,Finance,Consultant,0,4,1,4,0,0,2.8,Hyderabad,40158
1014,23,Male,High School,Sales,Executive,6,2,3,3,0,1,2.5,Bangalore,60718
1015,45,Female,Master,Marketing,Executive,13,3,3,3,0,1,4.2,Hyderabad,86136
1016,51,Male,Master,Finance,Consultant,4,2,1,1,1,0,3.9,Chennai,48980
1017,59,Female,Bachelor,Sales,Manager,18,3,1,4,0,0,3.3,Bangalore,90072
1018,23,Female,PhD,IT,Manager,10,2,1,3,0,1,2.9,Bangalore,68302
1019,42,Female,Bachelor,Sales,Executive,1,1,2,2,0,1,3.7,Mumbai,43426
1020,54,Female,PhD,Operations,Executive,7,0,2,3,1,1,2.8,Mumbai,59200
1021,33,Female,High School,Marketing,Consultant,8,0,3,1,1,0,3.3,Mumbai,62741
1022,43,Female,High School,HR,Manager,2,1,2,1,1,1,3.4,Chennai,42638
1023,46,Female,High School,IT,Executive,1,3,2,1,1,0,3.7,Chennai,44313
1024,48,Male,High School,Finance,Manager,6,4,4,3,1,1,3.7,Delhi,61816
1025,49,Male,Master,Marketing,Executive,4,3,2,4,0,0,3.1,Bangalore,56317
1026,37,Female,Master,HR,Engineer,4,0,4,2,1,0,4.6,Mumbai,52651
1027,36,Female,Bachelor,Sales,Analyst,19,4,2,1,1,1,3.4,Bangalore,96584
1028,24,Male,PhD,HR,Engineer,12,2,3,4,1,0,3.1,Hyderabad,71046
1029,58,Female,High School,Marketing,Executive,19,4,1,2,0,0,2.9,Chennai,97784
1030,28,Male,High School,Marketing,Analyst,5,3,3,1,0,0,3.3,Delhi,51265
1031,42,Male,PhD,Operations,Analyst,19,1,2,2,1,0,2.7,Hyderabad,92419
1032,30,Male,PhD,Operations,Executive,17,2,1,2,0,0,2.6,Bangalore,88422
1033,39,Female,Bachelor,HR,Executive,1,3,1,4,1,1,4.0,Chennai,42876
1034,25,Female,PhD,Sales,Manager,5,2,1,2,0,1,4.0,Mumbai,57411
1035,46,Male,High School,HR,Executive,8,4,4,1,0,0,3.8,Hyderabad,69474
1036,35,Male,High School,Marketing,Consultant,2,0,3,4,1,1,4.4,Chennai,51823
1037,30,Male,High School,Marketing,Executive,0,3,4,3,0,0,2.6,Bangalore,37988
1038,47,Male,High School,Finance,Consultant,0,1,1,3,1,0,4.8,Bangalore,35015
1039,23,Male,High School,Operations,Executive,18,4,3,4,1,1,2.7,Hyderabad,94092
1040,41,Female,Bachelor,Finance,Manager,4,3,3,3,1,0,4.2,Hyderabad,54269
